,name,method,bar,kind,bands,link,paper_name,cr,err_cr_l,err_cr_r,cr_l,cr_r,err_range,altname,r25,r25_NED
502,NGC3521,morph,False,ISM,HII,,Williams et al. (1975),177.1450688945651,0.0,0.0,177.1450688945651,177.1450688945651,0.0,NGC 3521,249.52913133080128,328.95
503,NGC3593,morph,False,ISM,HII,,Williams et al. (1975),35.359681070930804,0.0,0.0,35.359681070930804,35.359681070930804,0.0,NGC 3593,140.6440146435796,157.45
504,NGC4236,morph,False,ISM,HII,,Williams et al. (1975),609.2745046068076,0.0,0.0,609.2745046068076,609.2745046068076,0.0,NGC 4236,704.8898462544921,656.35
505,NGC4631,morph,False,ISM,HII,,Williams et al. (1975),342.2120649099553,0.0,0.0,342.2120649099553,342.2120649099553,0.0,NGC 4631,433.6319312237784,464.65
506,NGC5005,morph,False,ISM,HII,,Williams et al. (1975),114.59155902616465,0.0,0.0,114.59155902616465,114.59155902616465,0.0,NGC 5005,144.5843392875382,172.65
507,NGC5055,morph,False,ISM,HII,,Williams et al. (1975),186.48598920970355,0.0,0.0,186.48598920970355,186.48598920970355,0.0,MESSIER 063,354.91246671754936,377.7
508,NGC5194,morph,False,ISM,HII,,Williams et al. (1975),232.04790702798343,0.0,0.0,232.04790702798343,232.04790702798343,0.0,MESSIER 051a,414.11,336.6
509,NGC5457,morph,False,ISM,HII,,Williams et al. (1975),463.3484778014484,0.0,0.0,463.3484778014484,463.3484778014484,0.0,MESSIER 101,719.6498757058469,865.2
510,NGC6946,morph,False,ISM,HII,,Williams et al. (1975),251.1937739444837,0.0,0.0,251.1937739444837,251.1937739444837,0.0,NGC 6946,342.07493626835054,344.45
511,NGC7331,morph,False,ISM,HII,,Williams et al. (1975),148.96902673401405,0.0,0.0,148.96902673401405,148.96902673401405,0.0,NGC 7331,278.0489470138048,314.15
512,NGC7479,morph,False,ISM,HII,,Williams et al. (1975),91.4128118595086,0.0,0.0,91.4128118595086,91.4128118595086,0.0,NGC 7479,109.42618407768236,122.2
513,IC342,morph,False,ISM,HII,,Williams et al. (1975),572.9577951308231,0.0,0.0,572.9577951308231,572.9577951308231,0.0,IC 0342,593.090892033558,641.4
514,M51,offset,False,ISM,HII,,Oey et al. (2003),300.8028424436822,0.0,0.0,300.8028424436822,300.8028424436822,0.0,MESSIER 051a,411.264529849456,336.6
515,M100,offset,False,ISM,HII,,Oey et al. (2003),153.73774378665567,0.0,0.0,153.73774378665567,153.73774378665567,0.0,MESSIER 100,182.86106917205072,222.4
516,NGC157,offset,False,ISM,HII,,Oey et al. (2003),55.747244931647664,0.0,0.0,55.747244931647664,55.747244931647664,0.0,NGC 0157,110.94845393407986,125.05
517,NGC6951,offset,False,ISM,HII,,Oey et al. (2003),108.56042434057704,0.0,0.0,108.56042434057704,108.56042434057704,0.0,NGC 6951,95.74613565302283,116.7
518,NGC1068,T-W,False,ISM,CO,https://arxiv.org/pdf/astro-ph/0406426.pdf,Rand & Wallin (2004),34.3,0.0,0.0,34.3,34.3,0.0,MESSIER 077,,212.4
519,NGC1068,T-W,False,ISM,CO,https://arxiv.org/pdf/astro-ph/0406426.pdf,Rand & Wallin (2004),55.1,0.0,0.0,55.1,55.1,0.0,MESSIER 077,,212.4
520,NGC3627,T-W,False,ISM,CO,https://arxiv.org/pdf/astro-ph/0406426.pdf,Rand & Wallin (2004),163.0,0.0,0.0,163.0,163.0,0.0,MESSIER 066,308.404889437942,273.6
521,NGC4321,T-W,False,ISM,CO,https://arxiv.org/pdf/astro-ph/0406426.pdf,Rand & Wallin (2004),117.0,0.0,0.0,117.0,117.0,0.0,MESSIER 100,182.86106917205072,222.4
522,NGC4736,T-W,False,ISM,CO,https://arxiv.org/pdf/astro-ph/0406426.pdf,Rand & Wallin (2004),45.3,0.0,0.0,45.3,45.3,0.0,MESSIER 094,232.33853934075563,336.6
523,IC342,T-W,False,ISM,Halpha,https://arxiv.org/pdf/0909.1816.pdf,Fathi et al. (2009),344.0,79.0,26.0,265.0,370.0,105.0,IC 0342,593.090892033558,641.4
524,NGC2403,T-W,False,ISM,Halpha,https://arxiv.org/pdf/0909.1816.pdf,Fathi et al. (2009),390.0,32.0,0.0,358.0,390.0,32.0,NGC 2403,598.5786944906636,656.35
525,NGC4294,T-W,False,ISM,Halpha,https://arxiv.org/pdf/0909.1816.pdf,Fathi et al. (2009),29.0,6.0,4.0,23.0,33.0,10.0,NGC 4294,80.56033336975523,97.1
526,NGC4519,T-W,False,ISM,Halpha,https://arxiv.org/pdf/0909.1816.pdf,Fathi et al. (2009),68.0,0.0,100.0,68.0,168.0,100.0,NGC 4519,70.0037418684301,94.85
527,NGC5371,T-W,False,ISM,Halpha,https://arxiv.org/pdf/0909.1816.pdf,Fathi et al. (2009),93.0,16.0,0.0,77.0,93.0,16.0,NGC 5371,119.4321511660492,130.95
528,NGC5921,T-W,False,ISM,Halpha,https://arxiv.org/pdf/0909.1816.pdf,Fathi et al. (2009),65.0,8.0,4.0,57.0,69.0,12.0,NGC 5921,90.59855161206048,146.95
529,NGC5964,T-W,False,ISM,Halpha,https://arxiv.org/pdf/0909.1816.pdf,Fathi et al. (2009),55.0,13.0,38.0,42.0,93.0,51.0,NGC 5964,102.59383275411264,125.05
530,NGC6946,T-W,False,ISM,Halpha,https://arxiv.org/pdf/0909.1816.pdf,Fathi et al. (2009),254.0,63.0,0.0,191.0,254.0,63.0,NGC 6946,342.07493626835054,344.45
531,NGC7479,T-W,False,ISM,Halpha,https://arxiv.org/pdf/0909.1816.pdf,Fathi et al. (2009),94.0,25.0,6.0,69.0,100.0,31.0,NGC 7479,109.42618407768236,122.2
532,NGC7741,T-W,False,ISM,Halpha,https://arxiv.org/pdf/0909.1816.pdf,Fathi et al. (2009),109.0,17.0,0.0,92.0,109.0,17.0,NGC 7741,108.92341643103042,130.95
533,NGC3938,T-W,False,ISM,"CO,HI",https://arxiv.org/pdf/0907.3443.pdf,Meidt et al. (2009) TWR,45.633806691835474,9.126761338367094,12.777465873713933,36.50704535346838,58.41127256554941,21.904227212081025,NGC 3938,161.85318675453826,161.1
534,NGC3938,T-W,False,ISM,"CO,HI",https://arxiv.org/pdf/0907.3443.pdf,Meidt et al. (2009) TWR,255.54931747427867,0.0,0.0,255.54931747427867,255.54931747427867,0.0,NGC 3938,161.85318675453826,161.1
535,NGC3344,T-W,False,ISM,"CO,HI",https://arxiv.org/pdf/0907.3443.pdf,Meidt et al. (2009) TWR,119.57380072295445,12.8541835777176,12.8541835777176,106.71961714523682,132.42798430067202,25.7083671554352,NGC 3344,200.965382824958,212.4
536,M101,T-W,False,ISM,"CO,HI",https://arxiv.org/pdf/0907.3443.pdf,Meidt et al. (2009) TWR,111.49448986329531,27.87362246582383,27.87362246582383,83.62086739747149,139.36811232911913,55.74724493164766,MESSIER 101,719.6498757058469,865.2
537,M101,T-W,False,ISM,"CO,HI",https://arxiv.org/pdf/0907.3443.pdf,Meidt et al. (2009) TWR,292.6730358911502,13.936811232911914,13.936811232911914,278.7362246582383,306.6098471240621,27.87362246582383,MESSIER 101,719.6498757058469,865.2
538,IC 342,T-W,False,ISM,"CO,HI",https://arxiv.org/pdf/0907.3443.pdf,Meidt et al. (2009) TWR,536.2884962424506,103.1324031235482,103.1324031235482,433.1560931189024,639.4208993659988,206.2648062470964,IC 0342,593.090892033558,641.4
539,IC 342,T-W,False,ISM,"CO,HI",https://arxiv.org/pdf/0907.3443.pdf,Meidt et al. (2009) TWR,1340.7212406061265,412.5296124941928,1031.324031235482,928.1916281119336,2372.045271841608,1443.8536437296748,IC 0342,593.090892033558,641.4
540,ESO139-G09,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),15.001640750852342,3.1682165484652054,5.307439688027182,11.833424202387135,20.309080438879526,8.475656236492387,ESO 139- G 009,32.59276870851197,30.0
541,ESO281-G31,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),19.902898830101933,3.9805797660203854,11.94173929806116,15.922319064081544,31.84463812816309,15.922319064081544,ESO 281- G 031,34.68336726576296,33.0
542,IC874,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),29.67763927342265,7.5247564080686224,14.447532303491757,22.152882865354023,44.1251715769144,21.972288711560378,IC 0874,38.82587524349959,36.9
543,NGC271,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),40.50425646448341,14.725670656463176,27.614963560473296,25.778585808020235,68.1192200249567,42.34063421693647,NGC 0271,71.46958408076071,64.15
544,NGC936,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),55.08565522756964,11.996005058268649,11.996005058268649,43.08965016930099,67.08166028583828,23.992010116537298,NGC 0936,133.69687451925097,140.3
545,NGC1023,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),72.43195055407404,8.1276776199291,8.1276776199291,64.30427293414493,80.55962817400314,16.2553552398582,NGC 1023,221.8815825174713,261.3
546,NGC1308,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),8.968187378548775,2.3061053259125424,4.542328672251977,6.662082052636233,13.510516050800751,6.84843399816452,NGC 1308,34.36538824336606,35.25
547,NGC1358,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),23.25587588669752,7.081116055244435,19.230820444769098,16.174759831453077,42.48669633146661,26.31193650001353,NGC 1358,63.84417137948137,77.1
548,NGC1440,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),38.09931206506123,7.00566695402889,10.652452491742562,31.093645111032338,48.75176455680379,17.65811944577145,NGC 1440,78.54549024656956,64.15
549,NGC2523,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),44.31847670618883,0.0,0.0,44.31847670618883,44.31847670618883,0.0,NGC 2523,83.58363505889312,88.55
550,NGC2950,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),39.5389002998048,7.548335511780917,10.663521596007962,31.990564788023885,50.20242189581276,18.21185710778888,NGC 2950,78.54549024656956,80.75
551,NGC3412,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),62.22825587897608,13.083889697630866,22.97658678608348,49.14436618134521,85.20484266505954,36.06047648371434,NGC 3412,118.88341027663184,108.9
552,NGC3992,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),46.24853186583229,3.1151860842270453,3.1151860842270453,43.13334578160524,49.36371795005933,6.230372168454091,MESSIER 109,211.89526627888856,227.55
553,NGC4245,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),55.686311030160645,0.0,0.0,55.686311030160645,55.686311030160645,0.0,NGC 4245,76.58103907983741,86.5
554,NGC4264,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),16.915652405338264,1.0233668714973327,1.0233668714973327,15.892285533840932,17.939019276835598,2.046733742994665,NGC 4264,25.77040564516188,29.3
555,NGC4431,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),17.87067861139826,4.148550391931739,6.063265957438695,13.722128219466525,23.93394456883696,10.211816349370434,NGC 4431,45.93262385046091,52.15
556,NGC4596,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),61.814208021160695,12.651094387750506,16.17418396408609,49.16311363341019,77.98839198524678,28.825278351836594,NGC 4596,117.79348061988,119.45
557,NGC7079,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),28.39424421887343,1.2322030510077149,1.2857770967037023,27.16204116786572,29.68002131557713,2.517980147711417,NGC 7079,69.04325452225527,64.15
558,IC1528,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),6.074852194762331,1.9007206253550848,1.9007206253550848,4.174131569407246,7.975572820117415,3.8014412507101705,IC 1528,,71.95
559,IC1683,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),19.23721897713056,8.26622995541787,8.26622995541787,10.97098902171269,27.50344893254843,16.53245991083574,IC 1683,39.45674496576715,39.55
560,IC5309,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),4.331079604842111,3.499512320712425,3.499512320712425,0.8315672841296853,7.830591925554536,6.9990246414248505,IC 5309,38.558599798308464,40.45
561,PGC001841,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),19.477547087433308,8.710455840342847,8.710455840342847,10.76709124709046,28.18800292777616,17.420911680685695,MCG -02-02-030,55.99139072504008,58.5
562,NGC36,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),12.21470615752957,3.7865589088341673,5.227894235422656,8.428147248695403,17.442600392952226,9.014453144256825,NGC 0036,64.13886268506697,65.65
563,NGC192,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),41.19722920125815,6.409997815166324,6.409997815166324,34.78723138609183,47.60722701642448,12.819995630332649,NGC 0192,61.81889739810002,57.15
564,NGC364,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),7.531596364119463,3.236009084203419,3.236009084203419,4.295587279916044,10.767605448322882,6.472018168406838,NGC 0364,42.08441113685875,42.4
565,NGC551,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),12.944036336813676,6.844302399332896,6.844302399332896,6.09973393748078,19.78833873614657,13.688604798665793,NGC 0551,44.5780692686102,54.6
566,NGC1645,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),12.490516587046857,3.920381118562152,6.929045697923803,8.570135468484704,19.41956228497066,10.849426816485956,NGC 1645,65.48189735529004,68.75
567,NGC2449,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),17.748081963103076,3.008664579361651,3.008664579361651,14.739417383741424,20.756746542464725,6.017329158723302,NGC 2449,43.06468300060968,40.45
568,NGC2553,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),12.004267766139922,2.7655401689081844,2.7655401689081844,9.238727597231737,14.769807935048108,5.531080337816369,NGC 2553,33.198713519329985,26.15
569,NGC2880,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),10.556484451276413,3.454849456781371,3.454849456781371,7.10163499449504,14.011333908057782,6.909698913562742,NGC 2880,70.0037418684301,61.25
570,NGC3300,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),28.289074525761848,7.048131195838276,9.461874756056863,21.24094332992357,37.75094928181871,16.51000595189514,NGC 3300,45.82698174714217,57.15
571,NGC3994,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),9.172225528830632,3.2344163706929074,3.2344163706929074,5.937809158137725,12.40664189952354,6.468832741385815,NGC 3994,25.47541425108942,31.4
572,NGC5205,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),11.8503922113106,2.642317182251688,3.122738488115631,9.20807502905891,14.97313069942623,5.765055670367319,NGC 5205,47.5467957738334,94.85
573,NGC5378,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),19.647872580179303,7.965353748721339,13.082490096384744,11.682518831457966,32.73036267656405,21.047843845106083,NGC 5378,60.97071032808665,77.1
574,NGC5406,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),11.237691176180004,3.0599014527911814,4.901258079249592,8.177789723388823,16.138949255429594,7.961159532040773,NGC 5406,50.830134013419865,58.5
575,NGC5947,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),5.911917780244311,2.3452235822456773,2.442941231505914,3.566694197998633,8.354859011750225,4.788164813751591,NGC 5947,35.004288511828875,35.25
576,NGC5971,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),17.883258568752368,8.612085207556422,8.612085207556422,9.271173361195943,26.49534377630879,17.224170415112845,NGC 5971,37.59423524824248,47.55
577,NGC6278,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),16.34008393727622,5.678848843774686,5.678848843774686,10.661235093501531,22.018932781050907,11.357697687549372,NGC 6278,51.77513675970612,61.25
578,NGC6427,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),23.33172063883908,15.99387252831907,15.99387252831907,7.33784811052001,39.32559316715815,31.98774505663814,NGC 6427,46.35763318615242,47.55
579,NGC6497,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),11.29631986182299,3.28269124189728,4.296463537189086,8.013628619925711,15.592783399012076,7.579154779086366,NGC 6497,43.56334852763226,43.35
580,NGC6941,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),10.365826970010923,3.58727495141951,7.17454990283902,6.778552018591413,17.540376872849944,10.761824854258531,NGC 6941,51.77513675970612,59.85
581,NGC6945,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),11.88882116643671,2.2734109440521606,2.6461012627492364,9.615410222384549,14.534922429185947,4.919512206801397,NGC 6945,47.5467957738334,48.65
582,NGC7321,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),11.475547256496109,3.886548981700998,5.257068885774508,7.588998274795109,16.732616142270615,9.143617867475506,NGC 7321,42.181425723897405,48.65
583,NGC7563,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),41.89020193803289,14.587076109108228,18.08658842982065,27.30312582892466,59.97679036785354,32.673664538928875,NGC 7563,45.93262385046091,58.5
584,NGC7591,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),12.855203202727058,4.193896080322301,6.44279687701687,8.661307122404757,19.29800007974393,10.636692957339172,NGC 7591,48.20823759038632,58.5
585,UGC3253,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),11.78053652517054,2.66794503658274,3.153025952325057,9.1125914885878,14.933562477495595,5.8209709889077965,UGC 03253,41.22125925037545,49.8
586,UGC3944,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),8.907298616860105,43.30661503260018,43.30661503260018,-34.399316415740074,52.21391364946028,86.61323006520036,UGC 03944,20.754929127568094,53.35
587,UGC8231,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),14.026145944639913,31.84476911894641,31.84476911894641,-17.818623174306495,45.87091506358632,63.68953823789282,UGC 08231,44.475542554378606,47.55
588,UGC12185,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),21.237764566829654,8.949246704261553,12.088161593069708,12.2885178625681,33.32592615989936,21.03740829733126,UGC 12185,41.89105083167813,45.4
589,J134145.21+270016.9,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),11.410091636295563,1.702998751685905,1.9243885894050723,9.707092884609658,13.334480225700636,3.6273873410909774,CGCG 161-122,26.49239701255688,24.95
590,J172452.14+280441.8,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),9.891546315178882,1.1575213773081672,1.2627505934270913,8.734024937870714,11.154296908605971,2.4202719707352585,UGC 10842,29.65659283970816,34.45
591,J172817.97+564629.2,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),3.201637653169501,0.8344693883260934,1.5497288640341735,2.367168264843408,4.7513665172036745,2.384198252360267,WISEA J172818.01+564629.6,,14.24
592,J171901.32+571024.6,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),13.600478514984683,3.611526030533497,8.65004527313145,9.988952484451186,22.250523788116134,12.261571303664947,WISEA J171901.32+571024.6,,21.285
593,J172956.64+582350.6,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),9.97461914055561,4.391103682369832,5.318535063560013,5.583515458185778,15.293154204115623,9.709638745929844,,,
594,J170107.08+644036.6,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),8.48528338492556,1.1313711179900747,1.2408586455375017,7.353912266935486,9.726142030463064,2.372229763527576,KAZ 444,18.54049200415248,20.365
595,J031947.01+003504.4,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),9.532272765645606,2.863772933884946,7.793553484358318,6.668499831760661,17.325826250003924,10.657326418243263,CGCG 390-059,26.984927445901057,26.15
596,J032427.59-000510.8,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),32.16213788360789,7.940243933415453,20.058107497303844,24.22189395019244,52.22024538091173,27.998351430719296,CGCG 390-083,28.848368351509937,28.585
597,J032246.99+000855.9,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),2.3877717536717187,1.1086083142047265,3.389783114587529,1.2791634394669922,5.777554868259248,4.498391428792255,,,
598,J072819.02+431807.5,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),3.7933015941679016,0.7426644687376917,0.8454949336398335,3.05063712543021,4.638796527807735,1.5881594023775252,WISEA J072819.02+431807.5,,9.21
599,J073941.87+455445.4,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),19.159412238579943,3.577869221594153,5.46747980615903,15.58154301698579,24.626892044738973,9.045349027753185,WISEA J073941.88+455445.5,,27.39
600,J074809.26+433526.4,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),6.164128847437522,1.2775396575000046,1.4851398518437553,4.886589189937517,7.649268699281277,2.76267950934376,CGCG 206-027,18.972355541286586,20.71
601,J074743.27+412310.9,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),7.391014582316828,1.566758851551033,1.7711187017533412,5.824255730765795,9.162133284070167,3.3378775533043736,WISEA J074743.27+412310.9,,20.84
602,J075135.62+425248.4,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),11.322174896040371,2.756972820102854,7.403556224770585,8.565202075937517,18.72573112081096,10.16052904487344,,,
603,J083641.96+534338.0,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),21.86991922463612,9.370609866079924,43.21322566340989,12.499309358556197,65.08314488804601,52.58383552948982,CGCG 263-062,26.799164511998857,26.545
604,J084440.15+535703.9,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),9.286806514169754,4.745680861866482,6.954877125149155,4.541125652303272,16.241683639318907,11.700557987015635,,,
605,J084758.26+513603.6,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),2.9148492864942024,0.5366690022065138,0.7576503560562547,2.3781802842876885,3.672499642550457,1.2943193582627686,WISEA J084758.29+513603.8,,11.215
606,J090641.10+412154.0,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),10.577495843020245,3.3816529460956914,4.128762317907531,7.195842896924553,14.706258160927774,7.510415264003222,,,
607,J091014.98+461735.8,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),7.86485406215681,1.1496190392479793,1.2591065667954058,6.71523502290883,9.123960628952217,2.408725606043385,KUG 0906+464,15.456859337452691,17.8
608,J104502.80+434217.0,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),12.602555456089176,4.521977776755866,25.10680704746627,8.08057767933331,37.70936250355545,29.628784824222137,UGC 05859,42.278663952656245,40.45
609,J105456.35+412954.3,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),10.400548886538491,4.404013139101366,21.725154101370578,5.996535747437127,32.12570298790907,26.129167240471944,CGCG 213-005,16.87023975571047,31.07
610,J110637.35+460219.6,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),7.608719128715307,0.9437171012360068,0.9437171012360068,6.6650020274793,8.552436229951313,1.8874342024720137,CGCG 241-078,24.49747114075777,20.325
611,J110102.71+445317.7,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),5.875345693316373,2.128748439607381,5.875345693316373,3.746597253708991,11.750691386632743,8.004094132923754,CGCG 241-058,24.328831735615225,19.74
612,J162105.00+395502.6,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),6.303864818999222,1.0532255717246857,1.3629977987025343,5.2506392472745365,7.6668626177017565,2.41622337042722,WISE J162105.01+395502.8,,23.265
613,J162912.90+410859.0,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),14.322799360581287,3.7084348171815766,8.142074665278662,10.614364543399711,22.46487402585995,11.850509482460238,,,
614,J155847.40+415617.1,T-W,True,stellar,"CALIFA,MANGA,different",https://arxiv.org/pdf/2003.07455.pdf,Cuomo et al. (2020),27.70501661942411,16.351341908596282,76.43867906330473,11.353674710827828,104.14369568272885,92.790020971901,CGCG 223-023,19.95819468605224,14.7
