!! request processed by HyperLeda Wed Nov 24 11:22:14 2021
!! Number of lines in uploaded file: 660
                  name                  |     objname     |      incl       |
MESSIER 063                             |  NGC5055        | 54.87           |
MESSIER 064                             |  NGC4826        | 63.99           |
MESSIER 066                             |  NGC3627        | 67.51           |
MESSIER 074                             |  NGC0628        | 19.77           |
MESSIER 081                             |  NGC3031        | 62.71           |
MESSIER 083                             |  NGC5236        | 15.3            |
MESSIER 090                             |  NGC4569        | 70.86           |
MESSIER 091                             |  NGC4548        | 36.86           |
MESSIER 094                             |  NGC4736        | 31.77           |
MESSIER 095                             |  NGC3351        | 54.64           |
MESSIER 099                             |  NGC4254        | 20.13           |
MESSIER 100                             |  NGC4321        |   24            |
MESSIER 101                             |  NGC5457        | 16.05           |
MESSIER 109                             |  NGC3992        | 47.36           |
NGC 0036                                |  NGC0036        | 54.59           |
NGC 0150                                |  NGC0150        | 64.51           |
NGC 0157                                |  NGC0157        | 61.75           |
NGC 0165                                |  NGC0165        | 51.17           |
NGC 0192                                |  NGC0192        | 76.16           |
NGC 0201                                |  NGC0201        | 40.46           |
NGC 0210                                |  NGC0210        | 55.36           |
NGC 0234                                |  NGC0234        | 40.04           |
NGC 0253                                |  NGC0253        |   90            |
NGC 0266                                |  NGC0266        | 15.88           |
NGC 0271                                |  NGC0271        | 61.34           |
NGC 0278                                |  NGC0278        | 12.76           |
NGC 0289                                |  NGC0289        | 42.95           |
NGC 0300                                |  NGC0300        | 48.51           |
NGC 0309                                |  NGC0309        | 29.76           |
NGC 0364                                |  NGC0364        |   90            |
NGC 0428                                |  NGC0428        | 47.89           |
NGC 0488                                |  NGC0488        | 45.38           |
NGC 0495                                |  NGC0495        | 49.23           |
NGC 0514                                |  NGC0514        | 45.55           |
NGC 0551                                |  NGC0551        | 70.32           |
NGC 0570                                |  NGC0570        | 51.53           |
NGC 0575                                |  NGC0575        | 22.04           |
NGC 0578                                |  NGC0578        | 54.4            |
NGC 0613                                |  NGC0613        | 35.73           |
NGC 0622                                |  NGC0622        | 52.44           |
NGC 0672                                |  NGC0672        | 69.64           |
NGC 0673                                |  NGC0673        | 43.64           |
! NGC 0674   <No cross identification found>
NGC 0685                                |  NGC0685        | 41.17           |
NGC 0718                                |  NGC0718        | 28.2            |
NGC 0753                                |  NGC0753        | 52.52           |
NGC 0864                                |  NGC0864        | 47.58           |
NGC 0895                                |  NGC0895        | 48.96           |
NGC 0908                                |  NGC0908        | 64.7            |
NGC 0925                                |  NGC0925        | 58.7            |
NGC 0936                                |  NGC0936        | 50.41           |
NGC 0972                                |  NGC0972        | 65.82           |
NGC 1012                                |  NGC1012        | 67.99           |
NGC 1023                                |  NGC1023        |   90            |
NGC 1033                                |  NGC1033        | 38.07           |
NGC 1042                                |  NGC1042        | 58.13           |
NGC 1058                                |  NGC1058        | 58.49           |
NGC 1073                                |  NGC1073        | 52.28           |
NGC 1079                                |  NGC1079        | 61.19           |
NGC 1084                                |  NGC1084        | 49.9            |
NGC 1087                                |  NGC1087        | 54.13           |
NGC 1097                                |  NGC1097        | 54.82           |
NGC 1187                                |  NGC1187        | 44.12           |
NGC 1232                                |  NGC1232        | 32.68           |
NGC 1241                                |  NGC1241        | 59.26           |
! NGC 1291:[LET2019] 052   <No cross identification found>
NGC 1300                                |  NGC1300        | 61.8            |
NGC 1302                                |  NGC1302        | 25.71           |
NGC 1308                                |  NGC1308        | 45.15           |
NGC 1309                                |  NGC1309        | 21.21           |
NGC 1317                                |  NGC1317        | 34.2            |
NGC 1326                                |  NGC1326        | 52.71           |
NGC 1350                                |  NGC1350        | 64.61           |
NGC 1358                                |  NGC1358        | 64.03           |
NGC 1365                                |  NGC1365        | 62.64           |
NGC 1371                                |  NGC1367        | 51.88           |
NGC 1385                                |  NGC1385        | 52.29           |
NGC 1398                                |  NGC1398        | 47.52           |
NGC 1433                                |  NGC1433        | 67.44           |
NGC 1440                                |  NGC1440        | 47.71           |
NGC 1493                                |  NGC1493        | 22.66           |
NGC 1511                                |  NGC1511        | 74.2            |
NGC 1512                                |  NGC1512        | 68.27           |
NGC 1530                                |  NGC1530        | 58.34           |
NGC 1546                                |  NGC1546        | 53.5            |
NGC 1559                                |  NGC1559        | 59.88           |
NGC 1566                                |  NGC1566        | 49.1            |
NGC 1617                                |  NGC1617        | 68.28           |
NGC 1637                                |  NGC1637        | 31.1            |
NGC 1645                                |  NGC1645        |   90            |
NGC 1672                                |  NGC1672        | 28.87           |
NGC 1703                                |  NGC1703        | 21.09           |
NGC 1792                                |  NGC1792        | 63.09           |
NGC 1808                                |  NGC1808        | 82.71           |
NGC 1809                                |  NGC1809        | 70.47           |
NGC 1832                                |  NGC1832        | 71.79           |
NGC 2090                                |  NGC2090        | 71.7            |
NGC 2139                                |  NGC2139        | 43.69           |
NGC 2196                                |  NGC2196        | 41.35           |
NGC 2273                                |  NGC2273        | 57.36           |
NGC 2276                                |  NGC2276        | 39.76           |
NGC 2283                                |  NGC2283        | 44.24           |
NGC 2336                                |  NGC2336        | 58.31           |
NGC 2342                                |  NGC2342        | 45.12           |
NGC 2344                                |  NGC2344        | 26.01           |
NGC 2403                                |  NGC2403        | 61.31           |
NGC 2442                                |  NGC2442        | 50.26           |
NGC 2449                                |  NGC2449        | 73.74           |
NGC 2500                                |  NGC2500        | 18.71           |
NGC 2503                                |  NGC2503        | 34.49           |
NGC 2523                                |  NGC2523        | 52.27           |
NGC 2528                                |  NGC2528        | 28.21           |
NGC 2535                                |  NGC2535        | 63.08           |
NGC 2541                                |  NGC2541        | 59.55           |
NGC 2543                                |  NGC2543        | 66.38           |
NGC 2552                                |  NGC2552        | 67.97           |
NGC 2553                                |  NGC2553        | 57.68           |
NGC 2559                                |  NGC2559        | 63.55           |
NGC 2566                                |  NGC2566        | 48.61           |
NGC 2582                                |  NGC2582        | 18.85           |
NGC 2595                                |  NGC2595        | 48.78           |
NGC 2649                                |  NGC2649        | 20.55           |
NGC 2665                                |  NGC2665        | 32.82           |
NGC 2766                                |  NGC2766        | 69.47           |
NGC 2771                                |  NGC2771        | 32.58           |
NGC 2775                                |  NGC2775        | 40.05           |
NGC 2805                                |  NGC2805        | 36.01           |
NGC 2835                                |  NGC2835        | 56.23           |
NGC 2840                                |  NGC2840        | 33.23           |
NGC 2841                                |  NGC2841        | 65.32           |
NGC 2857                                |  NGC2857        | 37.98           |
NGC 2880                                |  NGC2880        | 68.45           |
NGC 2903                                |  NGC2903        | 67.09           |
NGC 2950                                |  NGC2950        | 61.79           |
NGC 2964                                |  NGC2964        | 42.9            |
NGC 2967                                |  NGC2967        | 20.48           |
NGC 2977                                |  NGC2977        | 63.19           |
NGC 2985                                |  NGC2985        | 37.88           |
NGC 2997                                |  NGC2997        | 53.68           |
NGC 3003                                |  NGC3003        | 87.04           |
NGC 3041                                |  NGC3041        | 51.54           |
NGC 3059                                |  NGC3059        | 21.31           |
NGC 3061                                |  NGC3061        | 39.64           |
NGC 3074                                |  NGC3074        | 31.27           |
NGC 3081                                |  NGC3081        | 59.82           |
NGC 3104                                |  NGC3104        | 53.79           |
NGC 3109                                |  NGC3109        |   90            |
NGC 3137                                |  NGC3137        | 47.23           |
NGC 3147                                |  NGC3147        | 31.23           |
NGC 3162                                |  NGC3162        | 36.71           |
NGC 3166                                |  NGC3166        | 56.17           |
NGC 3184                                |  NGC3184        | 14.37           |
NGC 3223                                |  NGC3223        | 50.94           |
NGC 3227                                |  NGC3227        | 68.34           |
NGC 3237                                |  NGC3237        | 14.85           |
NGC 3261                                |  NGC3261        | 41.24           |
NGC 3275                                |  NGC3275        | 45.63           |
NGC 3294                                |  NGC3294        | 60.68           |
NGC 3300                                |  NGC3300        | 75.44           |
NGC 3310                                |  NGC3310        | 16.1            |
NGC 3319                                |  NGC3319        | 62.67           |
NGC 3338                                |  NGC3338        | 56.44           |
NGC 3344                                |  NGC3344        | 18.72           |
NGC 3346                                |  NGC3346        | 33.91           |
NGC 3359                                |  NGC3359        | 47.16           |
NGC 3374                                |  NGC3374        | 44.9            |
NGC 3380                                |  NGC3380        | 27.71           |
NGC 3381                                |  NGC3381        | 26.26           |
NGC 3389                                |  NGC3389        | 66.16           |
NGC 3412                                |  NGC3412        | 71.85           |
NGC 3423                                |  NGC3423        | 32.12           |
NGC 3430                                |  NGC3430        | 57.98           |
NGC 3433                                |  NGC3433        | 17.75           |
NGC 3464                                |  NGC3464        | 50.76           |
NGC 3485                                |  NGC3485        | 18.11           |
NGC 3486                                |  NGC3486        | 46.05           |
NGC 3489                                |  NGC3489        | 63.68           |
NGC 3504                                |  NGC3504        | 26.38           |
NGC 3507                                |  NGC3507        | 31.88           |
NGC 3511                                |  NGC3511        | 74.5            |
NGC 3513                                |  NGC3513        | 38.97           |
NGC 3516                                |  NGC3516        | 36.93           |
NGC 3521                                |  NGC3521        | 60.03           |
NGC 3577                                |  NGC3577        | 30.72           |
NGC 3583                                |  NGC3583        | 58.69           |
NGC 3593                                |  NGC3593        | 86.88           |
NGC 3596                                |  NGC3596        | 18.71           |
NGC 3599                                |  NGC3599        | 28.32           |
NGC 3621                                |  NGC3621        | 67.55           |
NGC 3626                                |  NGC3626        | 55.78           |
NGC 3631                                |  NGC3631        | 34.67           |
NGC 3646                                |  NGC3646        | 63.86           |
NGC 3668                                |  NGC3668        | 54.42           |
NGC 3675                                |  NGC3675        | 59.52           |
NGC 3681                                |  NGC3681        | 14.83           |
NGC 3684                                |  NGC3684        | 50.69           |
NGC 3686                                |  NGC3686        | 41.7            |
NGC 3719                                |  NGC3719        | 50.36           |
NGC 3720                                |  NGC3720        | 24.29           |
NGC 3726                                |  NGC3726        | 50.47           |
NGC 3810                                |  NGC3810        | 48.22           |
NGC 3832                                |  NGC3832        | 37.22           |
NGC 3840                                |  NGC3840        | 32.79           |
NGC 3887                                |  NGC3887        | 42.94           |
NGC 3893                                |  NGC3893        | 59.88           |
NGC 3897                                |  NGC3897        | 41.96           |
NGC 3938                                |  NGC3938        | 17.65           |
NGC 3949                                |  NGC3949        | 56.03           |
NGC 3963                                |  NGC3963        | 28.94           |
NGC 3994                                |  NGC3994        | 59.51           |
NGC 4027                                |  NGC4027        | 42.34           |
NGC 4030                                |  NGC4030        | 46.99           |
NGC 4045                                |  NGC4045        | 55.88           |
NGC 4051                                |  NGC4051        | 48.69           |
NGC 4062                                |  NGC4062        | 70.02           |
NGC 4079                                |  NGC4079        | 48.91           |
NGC 4113                                |  NGC4122        | 59.66           |
NGC 4123                                |  NGC4123        | 44.26           |
NGC 4136                                |  NGC4136        | 22.02           |
NGC 4145                                |  NGC4145        | 64.31           |
NGC 4146                                |  NGC4146        | 26.4            |
NGC 4151                                |  NGC4151        |   42            |
NGC 4156                                |  NGC4156        | 32.16           |
NGC 4207                                |  NGC4207        | 70.51           |
! NGC 4208   <No cross identification found>
NGC 4236                                |  NGC4236        |   90            |
NGC 4242                                |  NGC4242        | 51.47           |
NGC 4245                                |  NGC4245        | 56.14           |
NGC 4246                                |  NGC4246        | 61.51           |
NGC 4264                                |  NGC4264        | 43.09           |
NGC 4293                                |  NGC4293        | 59.33           |
NGC 4294                                |  NGC4294        | 70.17           |
NGC 4298                                |  NGC4298        | 58.4            |
NGC 4314                                |  NGC4314        | 16.22           |
NGC 4394                                |  NGC4394        | 17.6            |
NGC 4414                                |  NGC4414        | 56.58           |
NGC 4424                                |  NGC4424        | 64.5            |
NGC 4431                                |  NGC4431        | 69.04           |
NGC 4450                                |  NGC4450        | 48.76           |
NGC 4457                                |  NGC4457        | 34.65           |
NGC 4459                                |  NGC4459        | 46.95           |
NGC 4476                                |  NGC4476        | 60.14           |
NGC 4477                                |  NGC4477        | 33.51           |
NGC 4487                                |  NGC4487        | 58.18           |
NGC 4496                                |  NGC4496        |                 |
NGC 4496A                               |  NGC4496A       | 38.5            |
NGC 4504                                |  NGC4504        | 52.91           |
NGC 4514                                |  NGC4514        | 37.38           |
NGC 4519                                |  NGC4519        | 41.1            |
NGC 4527                                |  NGC4527        | 81.24           |
NGC 4535                                |  NGC4535        | 23.8            |
NGC 4536                                |  NGC4536        | 73.09           |
NGC 4540                                |  NGC4540        | 34.2            |
NGC 4559                                |  NGC4559        | 64.76           |
NGC 4571                                |  NGC4571        | 22.13           |
NGC 4580                                |  NGC4580        | 50.29           |
NGC 4593                                |  NGC4593        | 34.03           |
NGC 4596                                |  NGC4596        | 36.56           |
NGC 4605                                |  NGC4605        | 70.1            |
NGC 4608                                |  NGC4608        | 34.62           |
NGC 4618                                |  NGC4618        | 57.57           |
NGC 4625                                |  NGC4625        | 46.12           |
NGC 4631                                |  NGC4631        |   90            |
NGC 4635                                |  NGC4635        | 44.64           |
NGC 4643                                |  NGC4643        | 42.86           |
NGC 4647                                |  NGC4647        | 31.58           |
NGC 4651                                |  NGC4651        | 49.49           |
NGC 4654                                |  NGC4654        | 59.78           |
NGC 4665                                |  NGC4624        |    0            |
NGC 4689                                |  NGC4689        | 42.54           |
NGC 4691                                |  NGC4691        | 38.45           |
NGC 4694                                |  NGC4694        | 70.04           |
NGC 4699                                |  NGC4699        | 42.08           |
NGC 4713                                |  NGC4713        | 23.78           |
NGC 4731                                |  NGC4731        | 73.13           |
NGC 4772                                |  NGC4772        | 67.32           |
NGC 4775                                |  NGC4775        | 28.44           |
NGC 4781                                |  NGC4781        | 67.7            |
NGC 4868                                |  NGC4868        | 26.29           |
NGC 4900                                |  NGC4900        | 18.98           |
NGC 4902                                |  NGC4902        | 26.75           |
NGC 4930                                |  NGC4930        | 37.83           |
NGC 4932                                |  NGC4932        | 42.1            |
NGC 4935                                |  NGC4935        | 34.34           |
NGC 4939                                |  NGC4939        | 70.07           |
NGC 4941                                |  NGC4941        | 36.6            |
NGC 4951                                |  NGC4951        | 70.52           |
NGC 4995                                |  NGC4995        | 54.28           |
NGC 5005                                |  NGC5005        | 77.06           |
NGC 5008                                |  IC4381         | 39.97           |
NGC 5033                                |  NGC5033        | 64.6            |
NGC 5042                                |  NGC5042        | 60.25           |
NGC 5054                                |  NGC5054        | 56.93           |
NGC 5068                                |  NGC5068        | 27.27           |
NGC 5085                                |  NGC5085        | 37.63           |
NGC 5101                                |  NGC5101        | 22.19           |
NGC 5112                                |  NGC5112        | 53.57           |
NGC 5121                                |  NGC5121        | 42.13           |
NGC 5128                                |  NGC5128        | 45.33           |
NGC 5132                                |  NGC5132        | 54.68           |
NGC 5134                                |  NGC5134        | 58.33           |
NGC 5154                                |  NGC5154        | 21.1            |
NGC 5158                                |  NGC5158        | 17.97           |
NGC 5204                                |  NGC5204        | 58.83           |
NGC 5205                                |  NGC5205        | 56.05           |
NGC 5211                                |  NGC5211        | 41.6            |
NGC 5230                                |  NGC5230        | 17.97           |
NGC 5239                                |  NGC5239        | 14.23           |
NGC 5247                                |  NGC5247        | 38.47           |
NGC 5248                                |  NGC5248        | 56.38           |
NGC 5297                                |  NGC5297        | 82.23           |
NGC 5305                                |  NGC5305        | 48.02           |
NGC 5334                                |  NGC5334        | 44.72           |
NGC 5335                                |  NGC5335        | 24.73           |
NGC 5364                                |  NGC5364        | 67.51           |
NGC 5370                                |  NGC5370        | 22.22           |
NGC 5371                                |  NGC5371        | 53.97           |
NGC 5376                                |  NGC5376        | 54.75           |
NGC 5378                                |  NGC5378        | 41.99           |
NGC 5383                                |  NGC5383        | 42.28           |
NGC 5406                                |  NGC5406        | 45.52           |
NGC 5427                                |  NGC5427        | 24.15           |
NGC 5430                                |  NGC5430        | 50.25           |
NGC 5483                                |  NGC5483        | 26.32           |
NGC 5530                                |  NGC5530        | 66.31           |
NGC 5572                                |  NGC5572        | 36.79           |
NGC 5585                                |  NGC5585        | 53.12           |
! NGC 5588   <No cross identification found>
NGC 5622                                |  NGC5622        | 58.23           |
NGC 5625                                |  NGC5625        | 40.13           |
NGC 5643                                |  NGC5643        | 29.59           |
NGC 5660                                |  NGC5660        | 23.48           |
NGC 5668                                |  NGC5668        | 33.05           |
NGC 5676                                |  NGC5676        | 66.21           |
NGC 5678                                |  NGC5678        | 61.63           |
NGC 5686                                |  NGC5686        | 19.59           |
NGC 5701                                |  NGC5701        | 40.53           |
NGC 5713                                |  NGC5713        | 48.18           |
NGC 5727                                |  NGC5727        |   90            |
NGC 5768                                |  NGC5768        | 41.73           |
NGC 5850                                |  NGC5850        | 46.92           |
NGC 5874                                |  NGC5874        | 50.36           |
NGC 5879                                |  NGC5879        | 72.67           |
NGC 5905                                |  NGC5905        | 37.5            |
NGC 5921                                |  NGC5921        | 49.45           |
NGC 5947                                |  NGC5947        | 47.25           |
NGC 5949                                |  NGC5949        | 69.08           |
NGC 5962                                |  NGC5962        | 51.44           |
NGC 5964                                |  NGC5964        | 42.02           |
NGC 5970                                |  NGC5970        | 47.91           |
NGC 5971                                |  NGC5971        | 73.19           |
NGC 5985                                |  NGC5985        | 63.29           |
NGC 6015                                |  NGC6015        | 65.71           |
NGC 6035                                |  NGC6035        | 29.91           |
NGC 6140                                |  NGC6140        | 32.25           |
NGC 6181                                |  NGC6181        | 68.27           |
NGC 6207                                |  NGC6207        | 64.65           |
NGC 6215                                |  NGC6215        | 27.37           |
NGC 6217                                |  NGC6217        | 44.78           |
NGC 6221                                |  NGC6221        | 50.86           |
NGC 6236                                |  NGC6236        | 55.18           |
NGC 6248                                |  NGC6237        | 52.67           |
NGC 6278                                |  NGC6278        | 78.77           |
NGC 6283                                |  NGC6283        | 28.63           |
NGC 6300                                |  NGC6300        | 52.69           |
NGC 6308                                |  NGC6308        | 37.55           |
NGC 6384                                |  NGC6384        | 66.58           |
NGC 6412                                |  NGC6412        | 31.11           |
NGC 6427                                |  NGC6427        |   90            |
NGC 6497                                |  NGC6497        | 67.1            |
NGC 6503                                |  NGC6503        | 73.52           |
NGC 6643                                |  NGC6643        | 62.72           |
NGC 6744                                |  NGC6744        | 53.51           |
NGC 6753                                |  NGC6753        | 30.4            |
NGC 6764                                |  NGC6764        | 63.88           |
NGC 6782                                |  NGC6782        | 57.43           |
NGC 6814                                |  NGC6814        | 85.62           |
NGC 6902                                |  NGC6902        | 40.2            |
NGC 6907                                |  NGC6907        | 37.46           |
NGC 6912                                |  NGC6912        | 38.23           |
NGC 6941                                |  NGC6941        | 48.06           |
NGC 6945                                |  NGC6945        | 65.54           |
NGC 6946                                |  NGC6946        | 18.26           |
NGC 6951                                |  NGC6951        | 50.84           |
NGC 7079                                |  NGC7079        | 60.7            |
NGC 7083                                |  NGC7083        | 58.62           |
NGC 7098                                |  NGC7098        | 65.35           |
NGC 7177                                |  NGC7177        | 49.51           |
NGC 7205                                |  NGC7205        | 65.66           |
NGC 7213                                |  NGC7213        | 39.09           |
NGC 7217                                |  NGC7217        | 33.42           |
NGC 7321                                |  NGC7321        | 48.71           |
NGC 7331                                |  NGC7331        | 69.96           |
NGC 7412                                |  NGC7412        | 44.19           |
NGC 7418                                |  NGC7418        | 40.02           |
NGC 7440                                |  NGC7440        | 38.94           |
NGC 7456                                |  NGC7456        | 72.8            |
NGC 7479                                |  NGC7479        | 43.04           |
NGC 7496                                |  NGC7496        | 52.8            |
NGC 7552                                |  NGC7552        | 23.63           |
NGC 7563                                |  NGC7563        | 58.09           |
NGC 7582                                |  NGC7582        | 68.02           |
NGC 7591                                |  NGC7591        | 66.91           |
NGC 7713                                |  NGC7713        | 65.93           |
NGC 7723                                |  NGC7723        | 47.21           |
NGC 7727                                |  NGC7727        | 43.35           |
NGC 7741                                |  NGC7741        | 50.14           |
NGC 7743                                |  NGC7743        | 37.1            |
NGC 7753                                |  NGC7753        | 82.11           |
NGC 7793                                |  NGC7793        | 63.48           |
NGC 7819                                |  NGC7819        | 59.79           |
SBS 0927+493                            |  PGC027014      | 54.19           |
UGC 00978                               |  IC0107         | 33.91           |
UGC 01014                               |  UGC01014       | 50.03           |
UGC 01285                               |  UGC01285       | 43.33           |
UGC 01333                               |  UGC01333       | 44.49           |
UGC 01593                               |  UGC01593       | 43.89           |
UGC 02311                               |  UGC02311       | 51.23           |
UGC 02705                               |  UGC02705       | 62.47           |
UGC 02855                               |  UGC02855       | 68.23           |
UGC 03253                               |  UGC03253       | 60.74           |
UGC 03273                               |  UGC03273       |   90            |
