!! request processed by HyperLeda Wed Nov 24 11:22:14 2021
!! Number of lines in uploaded file: 660
                  name                  |     objname     |      incl       |
UGC 05153                               |  UGC05153       | 22.13           |
UGC 05228                               |  UGC05228       | 82.1            |
UGC 05380                               |  UGC05380       | 55.96           |
UGC 05476                               |  UGC05476       | 37.37           |
UGC 05493                               |  UGC05493       | 41.21           |
UGC 05521                               |  UGC05521       | 34.32           |
UGC 05736                               |  UGC05736       | 43.23           |
UGC 05859                               |  UGC05859       | 60.77           |
UGC 05885                               |  UGC05885       | 58.92           |
UGC 05892                               |  UGC05892       | 38.04           |
UGC 06002                               |  UGC06002       | 25.28           |
UGC 06015                               |  UGC06015       | 38.22           |
UGC 06053                               |  UGC06053       | 33.24           |
UGC 06093                               |  UGC06093       | 37.73           |
UGC 06109                               |  UGC06109       | 37.72           |
UGC 06155                               |  UGC06155       | 62.1            |
UGC 06211                               |  UGC06211       | 26.32           |
UGC 06223                               |  UGC06223       | 52.11           |
UGC 06429                               |  UGC06429       | 19.86           |
UGC 06528                               |  UGC06528       | 19.07           |
UGC 06758                               |  UGC06758       | 31.88           |
UGC 06771                               |  UGC06771       |   90            |
UGC 06828                               |  UGC06828       | 36.29           |
UGC 06903                               |  UGC06903       | 28.46           |
UGC 07020                               |  UGC07020       | 40.01           |
UGC 08039                               |  UGC08039       | 76.59           |
UGC 08050                               |  UGC08050       | 40.68           |
UGC 08172                               |  UGC08172       | 40.39           |
UGC 08231                               |  UGC08231       | 74.45           |
UGC 08272                               |  UGC08272       | 58.61           |
UGC 08370                               |  UGC08370       | 17.49           |
UGC 08448                               |  UGC08448       | 35.62           |
UGC 08657                               |  UGC08657       | 40.62           |
UGC 08670                               |  UGC08670       | 31.09           |
UGC 08878                               |  UGC08878       | 38.66           |
UGC 09008                               |  UGC09008       | 11.88           |
UGC 09084                               |  UGC09084       | 30.71           |
UGC 09155                               |  UGC09155       | 26.46           |
UGC 09396                               |  UGC09396       | 35.16           |
UGC 09418                               |  UGC09418       | 45.83           |
UGC 09734                               |  UGC09734       | 49.76           |
UGC 10005                               |  UGC10005       | 42.5            |
UGC 10104                               |  UGC10104       | 36.3            |
UGC 10134                               |  UGC10134       | 39.54           |
UGC 10168                               |  UGC10168       | 40.21           |
UGC 10367                               |  UGC10367       | 37.34           |
UGC 10415                               |  UGC10415       | 38.44           |
UGC 10445                               |  UGC10445       | 45.81           |
UGC 10502                               |  UGC10502       | 39.96           |
UGC 10712                               |  UGC10712       | 32.93           |
UGC 10842                               |  UGC10842       | 67.72           |
UGC 11058                               |  UGC11058       | 46.27           |
UGC 11124                               |  UGC11124       | 22.55           |
UGC 11466                               |  UGC11466       | 55.12           |
UGC 11555                               |  UGC11555       | 59.95           |
UGC 11557                               |  UGC11557       | 28.8            |
UGC 11861                               |  UGC11861       | 75.01           |
UGC 12185                               |  UGC12185       | 67.14           |
UGC 12635                               |  UGC12635       | 22.13           |
UGC 12646                               |  UGC12646       | 48.8            |
! WISE J162105.01+395502.8   <No cross identification found>
! WISE J162907.83+403954.1   <No cross identification found>
! WISEA J072819.02+431807.5   <No cross identification found>
! WISEA J073941.88+455445.5   <No cross identification found>
! WISEA J074743.27+412310.9   <No cross identification found>
! WISEA J083630.85+040215.6   <No cross identification found>
! WISEA J084758.29+513603.8   <No cross identification found>
! WISEA J095759.45+022810.5   <No cross identification found>
! WISEA J095928.33+020109.3   <No cross identification found>
! WISEA J095935.08+020127.2   <No cross identification found>
! WISEA J095938.81+020658.6   <No cross identification found>
! WISEA J100204.96+022739.9   <No cross identification found>
! WISEA J100217.11+023023.5   <No cross identification found>
! WISEA J100254.91+024646.1   <No cross identification found>
! WISEA J104924.87-002547.5   <No cross identification found>
! WISEA J123234.58+492312.2   <No cross identification found>
! WISEA J130235.73+411924.1   <No cross identification found>
! WISEA J133259.13+321913.6   <No cross identification found>
! WISEA J134432.00+401424.2   <No cross identification found>
! WISEA J142004.29+470716.7   <No cross identification found>
! WISEA J153619.29+493428.3   <No cross identification found>
! WISEA J155209.50+461911.4   <No cross identification found>
! WISEA J161149.41+491343.3   <No cross identification found>
! WISEA J161652.02+501655.8   <No cross identification found>
! WISEA J162050.98+574408.7   <No cross identification found>
! WISEA J162259.35+464031.2   <No cross identification found>
! WISEA J163233.73+390751.8   <No cross identification found>
! WISEA J171901.32+571024.6   <No cross identification found>
! WISEA J172818.01+564629.6   <No cross identification found>
