,name,objname,incl,False
146,NGC 0309,NGC0309,29.76,False
147,NGC 0364,NGC0364,90,False
148,NGC 0428,NGC0428,47.89,False
149,NGC 0488,NGC0488,45.38,False
150,NGC 0495,NGC0495,49.23,False
151,NGC 0514,NGC0514,45.55,False
152,NGC 0551,NGC0551,70.32,False
153,NGC 0570,NGC0570,51.53,False
154,NGC 0575,NGC0575,22.04,False
155,NGC 0578,NGC0578,54.4,False
156,NGC 0613,NGC0613,35.73,False
157,NGC 0622,NGC0622,52.44,False
158,NGC 0672,NGC0672,69.64,False
159,NGC 0673,NGC0673,43.64,False
160,NGC 0685,NGC0685,41.17,False
161,NGC 0718,NGC0718,28.2,False
162,NGC 0753,NGC0753,52.52,False
163,NGC 0864,NGC0864,47.58,False
164,NGC 0895,NGC0895,48.96,False
165,NGC 0908,NGC0908,64.7,False
166,NGC 0925,NGC0925,58.7,False
167,NGC 0936,NGC0936,50.41,False
168,NGC 0972,NGC0972,65.82,False
169,NGC 1012,NGC1012,67.99,False
170,NGC 1023,NGC1023,90,False
171,NGC 1033,NGC1033,38.07,False
172,NGC 1042,NGC1042,58.13,False
173,NGC 1058,NGC1058,58.49,False
174,NGC 1073,NGC1073,52.28,False
175,NGC 1079,NGC1079,61.19,False
176,NGC 1084,NGC1084,49.9,False
177,NGC 1087,NGC1087,54.13,False
178,NGC 1097,NGC1097,54.82,False
179,NGC 1187,NGC1187,44.12,False
180,NGC 1232,NGC1232,32.68,False
181,NGC 1241,NGC1241,59.26,False
182,NGC 1300,NGC1300,61.8,False
183,NGC 1302,NGC1302,25.71,False
184,NGC 1308,NGC1308,45.15,False
185,NGC 1309,NGC1309,21.21,False
186,NGC 1317,NGC1317,34.2,False
187,NGC 1326,NGC1326,52.71,False
188,NGC 1350,NGC1350,64.61,False
189,NGC 1358,NGC1358,64.03,False
190,NGC 1365,NGC1365,62.64,False
191,NGC 1371,NGC1367,51.88,False
192,NGC 1385,NGC1385,52.29,False
193,NGC 1398,NGC1398,47.52,False
194,NGC 1433,NGC1433,67.44,False
195,NGC 1440,NGC1440,47.71,False
196,NGC 1493,NGC1493,22.66,False
197,NGC 1511,NGC1511,74.2,False
198,NGC 1512,NGC1512,68.27,False
199,NGC 1530,NGC1530,58.34,False
200,NGC 1546,NGC1546,53.5,False
201,NGC 1559,NGC1559,59.88,False
202,NGC 1566,NGC1566,49.1,False
203,NGC 1617,NGC1617,68.28,False
204,NGC 1637,NGC1637,31.1,False
205,NGC 1645,NGC1645,90,False
206,NGC 1672,NGC1672,28.87,False
207,NGC 1703,NGC1703,21.09,False
208,NGC 1792,NGC1792,63.09,False
209,NGC 1808,NGC1808,82.71,False
210,NGC 1809,NGC1809,70.47,False
211,NGC 1832,NGC1832,71.79,False
212,NGC 2090,NGC2090,71.7,False
213,NGC 2139,NGC2139,43.69,False
214,NGC 2196,NGC2196,41.35,False
215,NGC 2273,NGC2273,57.36,False
216,NGC 2276,NGC2276,39.76,False
217,NGC 2283,NGC2283,44.24,False
218,NGC 2336,NGC2336,58.31,False
219,NGC 2342,NGC2342,45.12,False
220,NGC 2344,NGC2344,26.01,False
221,NGC 2403,NGC2403,61.31,False
222,NGC 2442,NGC2442,50.26,False
223,NGC 2449,NGC2449,73.74,False
224,NGC 2500,NGC2500,18.71,False
225,NGC 2503,NGC2503,34.49,False
226,NGC 2523,NGC2523,52.27,False
227,NGC 2528,NGC2528,28.21,False
228,NGC 2535,NGC2535,63.08,False
229,NGC 2541,NGC2541,59.55,False
230,NGC 2543,NGC2543,66.38,False
231,NGC 2552,NGC2552,67.97,False
232,NGC 2553,NGC2553,57.68,False
233,NGC 2559,NGC2559,63.55,False
234,NGC 2566,NGC2566,48.61,False
