,Name,Type,Altname
931,UGC 9951  ,F,UGC 09951
932,NGC 5985  ,M,NGC 5985
933,UGC 10054 ,F,UGC 10054
934,UGC 10020 ,F,UGC 10020
935,UGC 10041 ,F,UGC 10041
936,NGC 6015  ,F,NGC 6015
937,IC 1151   ,G,IC 1151
938,IC 1158   ,M,IC 1158
939,NGC 6063  ,M,NGC 6063
940,NGC 6070  ,M,NGC 6070
941,UGC 10290 ,F,UGC 10290
942,UGC 10310 ,F,UGC 10310
943,NGC 6106  ,F,NGC 6106
944,NGC 6140  ,F,NGC 6140
945,NGC 6118  ,M,NGC 6118
946,NGC 6155  ,F,NGC 6155
947,UGC 10413 ,G,UGC 10413
948,UGC 10437 ,F,UGC 10437
949,NGC 6181  ,G,NGC 6181
950,NGC 6217  ,M,NGC 6217
951,UGC 10445 ,F,UGC 10445
952,NGC 6207  ,F,NGC 6207
953,NGC 6237  ,F,NGC 6237
954,NGC 6236  ,F,NGC 6236
955,NGC 6239  ,F,NGC 6239
956,NGC 6255  ,F,NGC 6255
957,NGC 6267  ,F,NGC 6267
958,UGC 10736 ,F,UGC 10736
959,UGC 10721 ,M,UGC 10721
960,IC 1251   ,F,IC 1251
961,UGC 10791 ,F,UGC 10791
962,UGC 10803 ,M,UGC 10803
963,NGC 6339  ,M,NGC 6339
964,UGC 10806 ,F,UGC 10806
965,UGC 10854 ,F,UGC 10854
966,NGC 6395  ,F,NGC 6395
967,NGC 6412  ,M,NGC 6412
968,NGC 6434  ,M,NGC 6434
969,IC 4901   ,M,IC 4901
970,NGC 6870  ,M,NGC 6870
971,IC 4986   ,F,IC 4986
972,NGC 6887  ,M,NGC 6887
973,NGC 6889  ,F,NGC 6889
974,NGC 6902B ,F,NGC 6902B
975,NGC 6902  ,M,NGC 6902
976,ESO 26-1  ,M,ESO 026- G 001
977,ESO 400-25,F,ESO 400- G 025
978,NGC 6923  ,M,NGC 6923
979,ESO 234-43,F,ESO 234- G 043
980,NGC 6925  ,M,NGC 6925
981,ESO 340-42,F,ESO 340- G 042
982,ESO 234-49,F,ESO 234-IG 049
983,IC 5039   ,M,IC 5003
984,IC 5007   ,F,IC 5007
985,ESO 285-48,F,ESO 285- G 048
986,ESO 187-35,F,ESO 187-IG 035
987,IC 5069   ,M,IC 5069
988,IC 5078   ,M,IC 5078
989,ESO 341-32,F,ESO 341- G 032
990,ESO 187-51,F,ESO 187- G 051
991,ESO 342-13,F,ESO 342-IG 013
992,PGC 66242 ,F,MCG -01-54-003
993,PGC 66559 ,F,MCG -01-54-011
994,NGC 7051  ,M,NGC 7051
995,ESO 402-26,G,ESO 402- G 026
996,NGC 7059  ,F,NGC 7059
997,ESO 342-50,M,ESO 342- G 050
998,NGC 7070  ,F,NGC 7070
999,NGC 7091  ,F,NGC 7091
1000,ESO 287-37,F,ESO 287- G 037
1001,NGC 7107  ,F,NGC 7107
1002,ESO 403-24,F,ESO 403- G 024
1003,ESO 403-31,F,ESO 403- G 031
1004,ESO 288-13,F,ESO 288- G 013
1005,NGC 7140  ,M,NGC 7140
1006,ESO 27-1  ,M,NGC 7095
1007,ESO 404-3 ,M,ESO 404- G 003
1008,ESO 145-25,F,ESO 145- G 025
1009,NGC 7151  ,F,NGC 7151
1010,NGC 7154  ,F,NGC 7154
1011,ESO 404-12,M,ESO 404- G 012
1012,NGC 7163  ,G,NGC 7163
1013,NGC 7162  ,M,NGC 7162
1014,NGC 7167  ,G,NGC 7167
1015,NGC 7162A ,F,NGC 7162A
1016,NGC 7171  ,G,NGC 7171
1017,NGC 7184  ,M,NGC 7184
1018,IC 5156   ,M,IC 5156
1019,NGC 7188  ,G,NGC 7188
1020,ESO 404-27,G,ESO 404- G 027
1021,NGC 7191  ,G,NGC 7191
1022,PGC 68061 ,F,NGC 7204
1023,NGC 7205  ,M,NGC 7205
1024,ESO 532-22,F,ESO 532- G 022
1025,NGC 7218  ,F,NGC 7218
1026,ESO 601-31,F,ESO 601- G 031
1027,NGC 7247  ,G,NGC 7247
1028,ESO 237-52,F,ESO 237- G 052
1029,IC 5201   ,M,IC 5201
1030,NGC 7254  ,G,NGC 7254
1031,ESO 27-8  ,G,ESO 027- G 008
1032,ESO 289-26,G,ESO 289- G 026
1033,PGC 68771 ,F,UGCA 428
1034,ESO 533-28,M,ESO 533- G 028
1035,NGC 7290  ,M,NGC 7290
1036,IC 1447   ,M,IC 1447
1037,NGC 7307  ,F,NGC 7307
1038,ESO 238-18,F,ESO 238- G 018
1039,NGC 7314  ,M,NGC 7314
1040,PGC 69293 ,F,ARP 003
1041,ESO 602-30,F,ESO 602- G 030
1042,NGC 7328  ,G,NGC 7328
1043,PGC 69448 ,M,II Zw 183
1044,UGC 12151 ,F,UGC 12151
1045,ESO 345-46,F,ESO 345- G 046
1046,UGC 12178 ,F,UGC 12178
1047,NGC 7371  ,M,NGC 7371
1048,NGC 7416  ,G,NGC 7416
1049,NGC 7412  ,M,NGC 7412
1050,IC 5269A  ,F,IC 5269A
1051,NGC 7418  ,M,NGC 7418
1052,IC 5269B  ,M,IC 5269B
1053,NGC 7418A ,F,NGC 7418A
1054,NGC 7421  ,M,NGC 7421
1055,IC 5267   ,M,IC 5267
1056,NGC 7424  ,M,NGC 7424
1057,IC 5270   ,F,IC 5270
1058,IC 5271   ,M,IC 5271
1059,NGC 7437  ,F,NGC 7437
1060,IC 5273   ,M,IC 5273
1061,NGC 7448  ,M,NGC 7448
1062,IC 5269C  ,F,IC 5269C
1063,NGC 7463  ,G,NGC 7463
1064,NGC 7456  ,F,NGC 7456
1065,NGC 7479  ,G,NGC 7479
1066,NGC 7497  ,F,NGC 7497
1067,NGC 7496  ,G,NGC 7496
1068,ESO 407-9 ,M,ESO 407- G 009
1069,NGC 7513  ,G,NGC 7513
1070,NGC 7537  ,M,NGC 7537
1071,NGC 7541  ,M,NGC 7541
1072,NGC 7531  ,M,NGC 7531
1073,NGC 7552  ,G,NGC 7552
1074,ESO 407-14,M,ESO 407- G 014
1075,NGC 7582  ,G,NGC 7582
1076,NGC 7590  ,M,NGC 7590
1077,NGC 7606  ,M,NGC 7606
1078,NGC 7599  ,M,NGC 7599
1079,NGC 7625  ,F,NGC 7625
1080,ESO 347-8 ,F,ESO 347- G 008
1081,IC 5321   ,F,IC 5321
1082,NGC 7661  ,G,NGC 7661
1083,IC 5325   ,M,IC 5325
1084,NGC 7689  ,M,NGC 7689
1085,UGC 12682 ,F,UGC 12682
1086,UGC 12681 ,F,UGC 12681
1087,IC 5332   ,M,IC 5332
1088,UGC 12707 ,F,UGC 12707
1089,NGC 7713  ,F,NGC 7713
1090,NGC 7714  ,G,NGC 7714
1091,NGC 7716  ,M,NGC 7716
1092,UGC 12709 ,F,UGC 12709
1093,ESO 408-12,F,ESO 408- G 012
1094,NGC 7721  ,M,NGC 7721
1095,NGC 7723  ,M,NGC 7723
1096,NGC 7724  ,G,NGC 7724
1097,NGC 7727  ,G,NGC 7727
1098,UGC 12732 ,F,UGC 12732
1099,NGC 7741  ,F,NGC 7741
1100,PGC 72252 ,F,MCG -01-60-026
1101,NGC 7743  ,G,NGC 7743
1102,NGC 7750  ,G,NGC 7750
1103,NGC 7755  ,M,NGC 7755
1104,NGC 7757  ,M,NGC 7757
1105,NGC 7764  ,F,NGC 7764
1106,UGC 12846 ,F,UGC 12846
1107,ESO 12-10 ,F,ESO 012- G 010
1108,UGC 12856 ,F,UGC 12856
1109,NGC 7793  ,F,NGC 7793
1110,NGC 7798  ,G,NGC 7798
