,name,method,bar,kind,bands,link,paper_name,cr,err_cr_l,err_cr_r,cr_l,cr_r,err_range,altname,r25,r25_NED
381,UGC10359,F-B,False,ISM,"Halpha, HI",,F-B works,32.70,3.60,3.60,29.10,36.30,7.20,NGC 6140,62.68,189.30
382,UGC10359,F-B,False,ISM,"Halpha, HI",,F-B works,58.30,2.30,2.30,56.00,60.60,4.60,NGC 6140,62.68,189.30
383,UGC10445,F-B,False,ISM,"Halpha, HI",,F-B works,6.00,2.20,2.20,3.80,8.20,4.40,UGC 10445,58.63,82.65
384,UGC10445,F-B,False,ISM,"Halpha, HI",,F-B works,28.50,1.50,1.50,27.00,30.00,3.00,UGC 10445,58.63,82.65
385,UGC10445,F-B,False,ISM,"Halpha, HI",,F-B works,55.30,3.00,3.00,52.30,58.30,6.00,UGC 10445,58.63,82.65
386,UGC10470,F-B,False,ISM,"Halpha, HI",,F-B works,11.30,1.40,1.40,9.90,12.70,2.80,NGC 6217,67.16,90.60
387,UGC10470,F-B,False,ISM,"Halpha, HI",,F-B works,35.60,2.00,2.00,33.60,37.60,4.00,NGC 6217,67.16,90.60
388,UGC10470,F-B,False,ISM,"Halpha, HI",,F-B works,43.90,1.50,1.50,42.40,45.40,3.00,NGC 6217,67.16,90.60
389,UGC10470,F-B,False,ISM,"Halpha, HI",,F-B works,57.80,3.40,3.40,54.40,61.20,6.80,NGC 6217,67.16,90.60
390,UGC10470,F-B,False,ISM,"Halpha, HI",,F-B works,65.70,1.50,1.50,64.20,67.20,3.00,NGC 6217,67.16,90.60
391,UGC10502,F-B,False,ISM,"Halpha, HI",,F-B works,34.10,3.10,3.10,31.00,37.20,6.20,UGC 10502,60.27,70.35
392,UGC10502,F-B,False,ISM,"Halpha, HI",,F-B works,48.80,1.70,1.70,47.10,50.50,3.40,UGC 10502,60.27,70.35
393,UGC10502,F-B,False,ISM,"Halpha, HI",,F-B works,68.40,4.40,4.40,64.00,72.80,8.80,UGC 10502,60.27,70.35
394,UGC10521,F-B,False,ISM,"Halpha, HI",,F-B works,12.60,1.40,1.40,11.20,14.00,2.80,NGC 6207,103.78,88.55
395,UGC10521,F-B,False,ISM,"Halpha, HI",,F-B works,24.30,1.40,1.40,22.90,25.70,2.80,NGC 6207,103.78,88.55
396,UGC10521,F-B,False,ISM,"Halpha, HI",,F-B works,38.00,1.40,1.40,36.60,39.40,2.80,NGC 6207,103.78,88.55
397,UGC10521,F-B,False,ISM,"Halpha, HI",,F-B works,49.50,1.70,1.70,47.80,51.20,3.40,NGC 6207,103.78,88.55
398,UGC10521,F-B,False,ISM,"Halpha, HI",,F-B works,55.40,1.70,1.70,53.70,57.10,3.40,NGC 6207,103.78,88.55
399,UGC10521,F-B,False,ISM,"Halpha, HI",,F-B works,64.10,3.60,3.60,60.50,67.70,7.20,NGC 6207,103.78,88.55
400,UGC10546,F-B,False,ISM,"Halpha, HI",,F-B works,28.10,1.50,1.50,26.60,29.60,3.00,NGC 6236,54.59,86.50
401,UGC10546,F-B,False,ISM,"Halpha, HI",,F-B works,38.90,3.30,3.30,35.60,42.20,6.60,NGC 6236,54.59,86.50
402,UGC10546,F-B,False,ISM,"Halpha, HI",,F-B works,47.50,1.50,1.50,46.00,49.00,3.00,NGC 6236,54.59,86.50
403,UGC10546,F-B,False,ISM,"Halpha, HI",,F-B works,55.70,1.50,1.50,54.20,57.20,3.00,NGC 6236,54.59,86.50
404,UGC10564,F-B,False,ISM,"Halpha, HI",,F-B works,8.80,1.40,1.40,7.40,10.20,2.80,NGC 6248,36.91,94.85
405,UGC10564,F-B,False,ISM,"Halpha, HI",,F-B works,45.60,1.50,1.50,44.10,47.10,3.00,NGC 6248,36.91,94.85
406,UGC10564,F-B,False,ISM,"Halpha, HI",,F-B works,81.20,2.60,2.60,78.60,83.80,5.20,NGC 6248,36.91,94.85
407,UGC10652,F-B,False,ISM,"Halpha, HI",,F-B works,12.40,1.40,1.40,11.00,13.80,2.80,NGC 6283,33.20,30.00
408,UGC10652,F-B,False,ISM,"Halpha, HI",,F-B works,22.90,1.40,1.40,21.50,24.30,2.80,NGC 6283,33.20,30.00
409,UGC10757,F-B,False,ISM,"Halpha, HI",,F-B works,12.40,1.30,1.30,11.10,13.70,2.60,IC 1251,36.23,43.35
410,UGC10757,F-B,False,ISM,"Halpha, HI",,F-B works,22.50,1.00,1.00,21.50,23.50,2.00,IC 1251,36.23,43.35
411,UGC10897,F-B,False,ISM,"Halpha, HI",,F-B works,7.50,1.90,1.90,5.60,9.40,3.80,NGC 6412,63.84,75.35
412,UGC10897,F-B,False,ISM,"Halpha, HI",,F-B works,19.00,2.00,2.00,17.00,21.00,4.00,NGC 6412,63.84,75.35
413,UGC10897,F-B,False,ISM,"Halpha, HI",,F-B works,26.30,2.80,2.80,23.50,29.10,5.60,NGC 6412,63.84,75.35
414,UGC10897,F-B,False,ISM,"Halpha, HI",,F-B works,36.40,2.10,2.10,34.30,38.50,4.20,NGC 6412,63.84,75.35
415,UGC10897,F-B,False,ISM,"Halpha, HI",,F-B works,42.60,1.80,1.80,40.80,44.40,3.60,NGC 6412,63.84,75.35
416,UGC11012,F-B,False,ISM,"Halpha, HI",,F-B works,21.80,1.80,1.80,20.00,23.60,3.60,NGC 6503,178.29,212.40
417,UGC11012,F-B,False,ISM,"Halpha, HI",,F-B works,37.20,1.10,1.10,36.10,38.30,2.20,NGC 6503,178.29,212.40
418,UGC11012,F-B,False,ISM,"Halpha, HI",,F-B works,56.80,1.60,1.60,55.20,58.40,3.20,NGC 6503,178.29,212.40
419,UGC11012,F-B,False,ISM,"Halpha, HI",,F-B works,89.30,1.50,1.50,87.80,90.80,3.00,NGC 6503,178.29,212.40
420,UGC11124,F-B,False,ISM,"Halpha, HI",,F-B works,11.10,2.80,2.80,8.30,13.90,5.60,UGC 11124,66.85,75.35
421,UGC11124,F-B,False,ISM,"Halpha, HI",,F-B works,25.40,1.40,1.40,24.00,26.80,2.80,UGC 11124,66.85,75.35
422,UGC11124,F-B,False,ISM,"Halpha, HI",,F-B works,48.30,2.70,2.70,45.60,51.00,5.40,UGC 11124,66.85,75.35
423,UGC11124,F-B,False,ISM,"Halpha, HI",,F-B works,59.50,1.30,1.30,58.20,60.80,2.60,UGC 11124,66.85,75.35
424,UGC11218,F-B,False,ISM,"Halpha, HI",,F-B works,9.80,1.70,1.70,8.10,11.50,3.40,NGC 6643,99.57,114.05
425,UGC11218,F-B,False,ISM,"Halpha, HI",,F-B works,22.50,1.70,1.70,20.80,24.20,3.40,NGC 6643,99.57,114.05
426,UGC11218,F-B,False,ISM,"Halpha, HI",,F-B works,32.00,4.10,4.10,27.90,36.10,8.20,NGC 6643,99.57,114.05
